"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH1"
"36",0.05,"W 38TH AVE","W","4  Minor Arterial",68,4,4,10,21000,3,0.71
"37",0.06,"E LOUISIANA AVE","E","5  Major Collector",32,4,2,11,3700,3,1.68
"38",0.03,"E 18TH AVE","E","4  Minor Arterial",40,2.5,3,12,11000,1,0.24
"39",0.12,"N DOWNING ST","N","4  Minor Arterial",36,2.5,2,10,7800,3,0.25
"40",0.1,"7TH ST","NW","4  Minor Arterial",30,4,4,10,12000,1,0.1
"41",0.11,"N TENNYSON ST","N","5  Major Collector",40,4,2,10,4000,3,1.07
"42",0.09,"N HOLLY ST","N","5  Major Collector",38,4,2,10,7100,3,3.21
"43",0.08,"W 26TH AVE","W","5  Major Collector",36,1,2,10,11000,3,0.4
"44",0.06,"E MARTIN LUTHER KING JR BLVD","E","4  Minor Arterial",68,2.5,6,12,22000,1,1.35
"45",0.07,"W 26TH AVE","W","5  Major Collector",36,1,2,10,11000,3,0.17
"46",0.07,"N BROADWAY","N","3  Principal Arterial - Other",72,2.5,5,10,33000,0,2
"47",0.07,"15TH ST","NW","4  Minor Arterial",40,2.5,3,10,11000,1,0.96
"48",0.02,"S WASHINGTON ST","S","4  Minor Arterial",20,4,2,10,5300,3,1.55
"49",0.03,"W 6TH AVE","W","3  Principal Arterial - Other",60,4,5,10,30000,0,0.23
"50",0.04,"W 44TH AVE","W","4  Minor Arterial",40,4,2,10,6900,3,0.89
"51",0.06,"E IOWA AVE","E","5  Major Collector",30,4,2,10,4100,3,0.54
"52",0.12,"S TEJON ST","S","5  Major Collector",36,4,2,10,1900,3,0.4
"53",0.09,"MARKET ST","NE","4  Minor Arterial",40,1,2,12,7100,1,0.92
"54",0.02,"20TH ST","NW","4  Minor Arterial",62,4,4,9,17000,1,0.46
"55",0.105,"N JOSEPHINE ST","NW","4  Minor Arterial",32,4,2,10,17000,3,0.635
"56",0.05,"N CROWN BLVD","NE","5  Major Collector",44,4,2,10,2600,3,0.73
"57",0.1,"N PEORIA ST","N","3  Principal Arterial - Other",34,4,4,10,10000,0,1.9
"58",0.06,"E 38TH AVE","E","5  Major Collector",40,4,2,11,2200,3,0.42
"59",0.07,"W 13TH AVE","W","5  Major Collector",50,4,2,10,7900,1,1.35
"61",0.06,"E 38TH AVE","E","5  Major Collector",40,4,2,11,2200,3,0.78
"62",0.1,"S MONACO STREET PKWY","S","4  Minor Arterial",78,1,5,10,25000,1,0.36
"63",0.03,"E SMITH RD","E","4  Minor Arterial",22,1,2,11,5800,3,0.75
"64",0.06,"W JEWELL AVE","W","4  Minor Arterial",48,4,2,12,12000,0,1.66
"65",0.05,"N CROWN BLVD","NE","5  Major Collector",36,4,2,10,2000,3,2.095
"66",0.1,"S IRVING ST","S","5  Major Collector",40,4,2,10,4100,3,1.2
"67",0.06,"E 26TH AVE","E","5  Major Collector",60,4,2,10,5400,3,0.3
"68",0.05,"W EVANS AVE","W","3  Principal Arterial - Other",52,2.5,4,12,30000,0,0.75
"69",0.05,"E JEWELL AVE","E","5  Major Collector",40,4,2,10,3400,3,1.1
"70",0.01,"S BROADWAY","S","3  Principal Arterial - Other",62,2.5,4,10,27000,1,3.1
"71",0.06,"E 1ST AVE","E","5  Major Collector",62,4,4,10,11000,0,1.48
"72",0.06,"E 26TH AVE","E","5  Major Collector",60,4,2,10,5400,3,1.21
"73",0.12,"S WASHINGTON ST","S","4  Minor Arterial",32,4,2,10,5300,3,0.48
"74",0.05,"W DARTMOUTH AVE","W","5  Major Collector",48,4,2,12,12000,1,0.95
"75",0.05,"W JEWELL AVE","W","4  Minor Arterial",48,4,2,12,12000,0,2.39
"76",0.025,"N SPEER BLVD","NW","3  Principal Arterial - Other",48,1,7,12,32000,3,2.425
"77",0.06,"E 14TH AVE","E","4  Minor Arterial",40,4,3,10,8700,1,0.83
"78",0.1,"E YALE AVE","E","4  Minor Arterial",48,4,2,10,11000,3,1.568
"79",0.07,"E 47TH AVE","E","5  Major Collector",44,1,2,10,14000,3,0.863
"80",0.06,"E ALAMEDA AVE","E","4  Minor Arterial",52,4,4,10,23000,0,0.18
"81",0.06,"N BRYANT ST","N","5  Major Collector",40,1,2,11,8800,3,0.17
"82",0.05,"S TAMARAC STREET PKWY","S","4  Minor Arterial",36,4,4,12,22000,1,0.2
"83",0.08,"N WASHINGTON ST","N","3  Principal Arterial - Other",40,1,2,10,22000,0,1.08
"84",0.025,"N MONACO STREET PKWY","N","3  Principal Arterial - Other",154,4,4,10,30000,3,1.825
"85",0.06,"E 38TH AVE","E","5  Major Collector",40,4,2,11,2200,3,1.41
"86",0.06,"S BROADWAY","S","3  Principal Arterial - Other",62,2.5,5,10,29000,0,0.49
"87",0.13,"S MONACO ST","S","4  Minor Arterial",72,4,6,10,15000,3,0.905
"88",0.07,"22ND ST","NW","3  Principal Arterial - Other",48,2.5,3,12,21000,1,0.57
"89",0.12,"S IRVING ST","S","5  Major Collector",40,4,2,10,4100,3,1.59
"90",0.13,"N MONACO STREET PKWY","N","4  Minor Arterial",56,4,4,10,10000,3,3.615
"91",0.06,"N PECOS ST","N","4  Minor Arterial",34,4,2,10,14000,3,1.69
"92",0.05,"E ALBROOK DR","SE","5  Major Collector",44,4,2,10,5900,3,0.64
"93",0.07,"E MAXWELL PL","E","5  Major Collector",60,4,2,10,3500,3,0.35
"94",0.11,"N CLARKSON ST","N","4  Minor Arterial",32,4,2,12,3800,3,0.975
"95",0.03,"E 13TH AVE","E","4  Minor Arterial",36,4,2,10,10000,3,1.26
"96",0.05,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other",68,4,4,12,20000,3,0.55
"97",0.1,"E 75TH AVE","E","5  Major Collector",20,4,2,12,8700,2,1.74
"98",0.07,"S BROADWAY","S","3  Principal Arterial - Other",62,2.5,4,10,37000,1,1.37
"99",0.07,"E 35TH AVE","E","5  Major Collector",36,4,2,10,2100,3,0.13
"100",0.31,"E CHERRY CREEK SOUTH DR","SE","4  Minor Arterial",24,1,2,10,6200,3,0.31
"101",0.09,"N DENARGO ST","N","5  Major Collector",40,1,2,12,4900,3,0.14
"102",0.08,"W 17TH AVE","W","5  Major Collector",28,4,2,12,7100,3,0.08
"103",0.06,"E 6TH AVENUE PKWY","E","4  Minor Arterial",140,4,4,10,17000,1,0.69
"104",0.1,"15TH ST","NW","4  Minor Arterial",50,2.5,4,10,12000,1,1.77
"105",0.07,"W 46TH AVE","W","5  Major Collector",38,4,2,11,6500,3,1.35
"106",0.019,"E 56TH AVE","E","3  Principal Arterial - Other",24,4,5,12,25000,2,0.619
"107",0.08,"N ZUNI ST","N","5  Major Collector",38,2.5,2,11,11000,1,0.9
"108",0.06,"14TH ST","NW","4  Minor Arterial",52,1,4,10,3300,3,0.25
"109",0.06,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other",72,4,6,12,20000,3,0.86
"110",0.02,"N HOLLY ST","N","5  Major Collector",32,2.5,2,10,13000,3,0.66
"111",0.01,"N SPEER BLVD","NW","3  Principal Arterial - Other",72,4,6,10,31000,0,0.11
"112",0.09,"CURTIS ST","NE","5  Major Collector",44,4,2,12,580,3,0.09
"113",0.48,"N PICADILLY RD","N","4  Minor Arterial",20,2.5,2,10,3400,1,0.87
"114",0.05,"ARAPAHOE ST","NE","5  Major Collector",40,2.5,2,12,1300,2,0.65
"115",0.1,"E 75TH AVE","E","5  Major Collector",30,2.5,2,12,8700,2,1.04
"116",0.04,"E 45TH AVE","E","5  Major Collector",36,4,2,10,5700,3,0.27
"117",0.01,"E MISSISSIPPI AVE","E","3  Principal Arterial - Other",26,1,6,11,24000,2,0.61
"118",0.06,"S LIPAN ST","S","5  Major Collector",40,4,2,10,4700,3,0.96
"119",0.08,"W 8TH AVE","W","4  Minor Arterial",52,4,3,10,11000,3,3.25
"120",0.06,"S TEJON ST","S","5  Major Collector",36,4,2,10,3000,3,1.27
"121",0.06,"E 8TH AVE","E","3  Principal Arterial - Other",36,4,3,11,20000,3,1.6
"122",0.06,"E 38TH AVE","E","5  Major Collector",40,4,2,11,2200,3,1.47
"123",0.09,"WALNUT ST","NE","4  Minor Arterial",32,1,2,12,7100,1,0.18
"124",0.08,"PARK AVE","NW","4  Minor Arterial",60,4,4,10,15000,3,0.67
"125",0.08,"N MEADE ST","N","5  Major Collector",28,4,2,10,2900,3,0.16
"126",0.06,"N UNIVERSITY BLVD","N","4  Minor Arterial",36,4,2,10,14000,2,0.63
"127",0.06,"S LINCOLN ST","S","3  Principal Arterial - Other",44,1,3,10,24000,0,0.95
"128",0.06,"N IRVING ST","N","4  Minor Arterial",46,4,4,10,2700,3,0.06
"129",0.05,"E MAXWELL PL","E","5  Major Collector",60,2.5,2,10,4700,3,0.79
"130",0.12,"E 48TH AVE","E","5  Major Collector",36,4,2,10,4300,3,0.64
"131",0.07,"E 24TH AVE","E","5  Major Collector",36,4,2,10,830,3,0.86
"132",0.01,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other",44,4,4,10,37000,0,2.11
"133",0.06,"W 50TH AVE","W","5  Major Collector",36,4,2,10,3700,3,0.65
"134",0.06,"E 14TH AVE","E","4  Minor Arterial",32,4,2,10,6200,3,4.71
"135",0.03,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other",34,2.5,2,10,8100,3,0.13
"136",0.06,"E MONTVIEW BLVD","E","4  Minor Arterial",44,4,3,10,7900,3,1.64
"137",0.12,"N DOWNING ST","N","4  Minor Arterial",34,4,2,10,5100,3,0.12
"138",0.06,"W 32ND AVE","W","4  Minor Arterial",40,4,2,10,6700,3,0.48
"139",0.12,"S DOWNING ST","S","4  Minor Arterial",32,4,2,10,20000,3,0.48
"140",0.06,"E ILIFF AVE","E","5  Major Collector",30,4,2,10,4100,3,0.12
"141",0.08,"N HAVANA WAY","NW","3  Principal Arterial - Other",28,4,2,10,7600,0,0.28
"142",0.02,"E EVANS AVE","E","3  Principal Arterial - Other",48,4,4,10,30000,1,2.74
"143",0.06,"W 6TH AVENUE FWY","W","3  Principal Arterial - Other",76,1,6,12,66000,3,0.26
"144",0.06,"W JEWELL AVE","W","5  Major Collector",48,1,2,10,6400,1,0.86
"145",0.02,"E EVANS AVE","E","3  Principal Arterial - Other",52,4,4,10,29000,0,2.02
"146",0.12,"N HOLLY ST","N","5  Major Collector",28,4,2,10,7100,3,2.71
"147",0.02,"W MISSISSIPPI AVE","W","4  Minor Arterial",48,1,4,10,13000,3,1.01
"148",0.06,"E 24TH AVE","E","5  Major Collector",36,4,2,13,140,0,0.4
"149",0.32,"E CHERRY CREEK NORTH DR","SE","4  Minor Arterial",28,4,2,10,9200,3,0.6
"150",0.08,"N TEJON ST","N","5  Major Collector",44,2.5,2,10,4800,3,0.25
"151",0.06,"E 23RD AVE","E","4  Minor Arterial",48,4,3,10,11000,3,3.39
"152",0.08,"E MISSISSIPPI AVE","NE","3  Principal Arterial - Other",60,4,6,11,21000,0,0.2
"153",0.05,"E 51ST AVE","E","5  Major Collector",82,4,2,10,8700,3,1.08
"154",0.04,"W 44TH AVE","W","5  Major Collector",40,4,2,10,7800,3,0.64
"155",0.06,"E 14TH AVE","E","4  Minor Arterial",36,4,3,10,8400,1,3.99
"156",0.02,"AURARIA PKWY","NE","3  Principal Arterial - Other",44,1,3,10,32000,3,0.02
"157",0.09,"N WILLIAMS ST","N","5  Major Collector",40,4,2,10,920,3,0.72
"158",0.04,"E 8TH AVE","E","3  Principal Arterial - Other",36,4,3,12,17000,3,0.8
"159",0.02,"W 14TH AVE","W","4  Minor Arterial",36,4,3,10,6600,1,0.53
"160",0.07,"W DARTMOUTH AVE","W","5  Major Collector",48,4,2,12,12000,1,2.74
"161",0.1,"N HAVANA ST","N","4  Minor Arterial",72,4,4,12,9500,3,2.51
"162",0.07,"N FOX ST","N","5  Major Collector",32,2.5,2,12,10000,3,0.33
"163",0.05,"N SPEER BLVD","NW","3  Principal Arterial - Other",72,4,6,10,31000,0,0.2
"165",0.06,"E 35TH AVE","E","5  Major Collector",34,4,2,11,4700,3,2.97
"166",0.12,"S TEJON ST","S","5  Major Collector",36,4,2,10,1900,3,0.52
"167",0.06,"E 14TH AVE","E","4  Minor Arterial",36,4,3,10,8700,1,2.09
"168",0.06,"E LOUISIANA AVE","E","5  Major Collector",48,4,2,10,3700,3,1.07
"169",0.09,"S XENIA ST","S","5  Major Collector",36,4,2,11,930,3,0.09
"170",0.06,"W JEWELL AVE","W","5  Major Collector",48,1,2,10,6400,1,1.16
"171",0.03,"N WASHINGTON ST","N","3  Principal Arterial - Other",40,4,4,10,22000,0,0.34
"172",0.1,"E 75TH AVE","E","5  Major Collector",30,2.5,2,12,8700,2,2.34
"173",0.07,"18TH ST","NW","5  Major Collector",52,4,3,10,3000,0,0.78
"174",0.09,"E DARTMOUTH AVE","NE","5  Major Collector",44,1,2,12,4000,3,0.35
"175",0.04,"E 8TH AVE","E","3  Principal Arterial - Other",36,4,3,11,20000,3,1.54
"177",0.07,"W 13TH AVE","W","5  Major Collector",36,4,3,10,7900,1,0.83
"178",0.06,"S LINCOLN ST","S","3  Principal Arterial - Other",44,1,4,10,23000,0,0.27
"179",0.07,"17TH ST","NW","4  Minor Arterial",66,1,4,10,5200,0,0.27
"181",0.04,"N LINCOLN ST","N","3  Principal Arterial - Other",72,4,4,10,21000,1,1.84
"182",0.03,"E SMITH RD","E","4  Minor Arterial",44,1,2,10,5800,3,1.92
"183",0.03,"E 13TH AVE","E","4  Minor Arterial",32,4,2,10,6900,3,3.99
"184",0.03,"GREEN VALLEY RANCH BLVD","E","4  Minor Arterial",26,2.5,2,12,11000,2,0.63
"185",0.05,"N MONACO STREET PKWY","N","3  Principal Arterial - Other",44,4,4,10,35000,3,0.25
"186",0.09,"N PEORIA ST","N","3  Principal Arterial - Other",48,4,4,12,40000,3,0.2
"187",0.08,"N PECOS ST","N","4  Minor Arterial",34,4,2,10,14000,3,0.73
"188",0.06,"E LOUISIANA AVE","E","5  Major Collector",40,4,2,11,6000,3,1.26
"189",0.08,"N IRVING ST","N","5  Major Collector",28,1,2,11,4000,3,0.49
"190",0.04,"COURT PL","NE","5  Major Collector",48,4,3,10,4100,3,0.18
"191",0.05,"S DAHLIA ST","S","5  Major Collector",40,4,2,12,4900,3,0.43
"192",0.06,"E 11TH AVE","E","5  Major Collector",40,4,3,10,6900,1,0.53
"193",0.08,"W 17TH AVE","W","5  Major Collector",28,4,2,12,7100,3,0.16
"194",0.06,"E MARTIN LUTHER KING BLVD","E","4  Minor Arterial",68,2.5,6,12,22000,1,2.03
"195",0.045,"E 13TH AVE","E","4  Minor Arterial",32,4,2,10,2600,3,4.035
"196",0.02,"E YALE AVE","SE","4  Minor Arterial",72,4,4,10,14000,1,0.35
"197",0.1,"MORRISON RD","SW","4  Minor Arterial",48,4,2,10,13000,3,0.1
"198",0.04,"S WEBSTER ST","S","5  Major Collector",36,4,2,10,2800,3,0.04
"199",0.08,"S DAYTON ST","S","5  Major Collector",40,4,2,12,8500,3,0.24
"200",0.1,"N MONACO STREET PKWY","N","3  Principal Arterial - Other",154,4,4,10,30000,3,2.6
"201",0.11,"E 51ST AVE","SE","5  Major Collector",56,4,4,10,6200,3,1.29
"202",0.05,"W JEWELL AVE","W","5  Major Collector",48,1,2,11,6400,1,0.74
"203",0.03,"LARIMER ST","NE","4  Minor Arterial",44,4,3,11,5000,3,0.03
"204",0.03,"W 35TH AVE","W","5  Major Collector",32,4,2,12,630,3,0.96
"205",0.05,"W 32ND AVE","W","4  Minor Arterial",32,2.5,2,12,3000,2,0.15
"206",0.05,"N ZUNI ST","N","5  Major Collector",38,2.5,2,11,4400,3,1.91
"207",0.03,"E 13TH AVE","E","4  Minor Arterial",32,4,2,10,10000,3,2.03
"208",0.07,"E BUCHTEL BLVD","SE","5  Major Collector",30,4,2,11,7000,1,0.57
"209",0.12,"S QUEBEC ST","S","4  Minor Arterial",48,4,4,10,31000,3,0.41
"210",0.03,"E 13TH AVE","E","4  Minor Arterial",32,4,2,10,10000,3,1.73
"211",0.12,"N PERRY ST","N","5  Major Collector",32,4,2,10,6400,3,0.25
"212",0.12,"S DOWNING ST","S","4  Minor Arterial",36,4,2,10,16000,3,1.98
"213",0.06,"W 14TH AVE","W","5  Major Collector",32,4,2,10,8400,3,0.79
"214",0.01,"E EVANS AVE","E","3  Principal Arterial - Other",48,4,4,12,29000,0,1.1
"215",0.1,"E ALAMEDA AVE","E","3  Principal Arterial - Other",52,4,6,10,38000,2,0.4
"216",0.02,"N HOLLY ST","N","5  Major Collector",40,4,2,10,7100,3,3.36
"217",0.05,"E EVANS AVE","E","3  Principal Arterial - Other",40,4,4,10,29000,0,0.55
"218",0.15,"GREEN VALLEY RANCH BLVD","SE","4  Minor Arterial",36,4,2,11,12000,3,3.085
"219",0.14,"S SANTA FE DR","S","4  Minor Arterial",40,2.5,4,10,22000,3,0.52
"220",0.06,"E MONTVIEW BLVD","E","5  Major Collector",44,4,2,10,7900,3,0.79
"221",0.035,"N MONACO STREET PKWY","N","3  Principal Arterial - Other",154,4,4,10,30000,3,1.735
"222",0.12,"S DAYTON ST","S","5  Major Collector",40,4,2,12,8500,3,0.36
"223",0.11,"N UNIVERSITY BLVD","N","4  Minor Arterial",40,1,3,10,14000,2,0.35
"224",0.12,"W DARTMOUTH AVE","W","4  Minor Arterial",44,1,2,10,21000,3,0.25
"225",0.06,"W 38TH AVE","W","4  Minor Arterial",68,2.5,4,12,22000,1,2.205
"226",0.01,"N PEORIA ST","N","3  Principal Arterial - Other",48,4,4,12,40000,3,0.21
"227",0.06,"W 32ND AVE","W","4  Minor Arterial",40,4,2,10,6700,3,0.54
"228",0.11,"N OGDEN ST","N","4  Minor Arterial",40,4,2,10,4000,3,0.33
"229",0.06,"W 1ST AVE","W","5  Major Collector",48,4,2,11,6200,3,0.75
"230",0.03,"PARK AVE","NW","4  Minor Arterial",60,4,4,10,15000,3,0.59
"231",0.09,"N LINCOLN ST","N","3  Principal Arterial - Other",62,4,4,10,23000,2,1.29
"233",0.09,"S ULSTER ST","S","4  Minor Arterial",100,4,4,11,11000,2,0.48
"234",0.07,"S SAINT PAUL ST","S","5  Major Collector",36,4,2,10,3800,3,0.25
"235",0.02,"N LINCOLN ST","N","3  Principal Arterial - Other",44,4,5,10,26000,1,0.62
"236",0.09,"S SHERIDAN BLVD","S","4  Minor Arterial",100,4,4,10,13000,0,0.09
"237",0.13,"N QUEBEC ST","N","4  Minor Arterial",36,4,4,10,26000,3,0.22
"238",0.04,"N TENNYSON ST","N","5  Major Collector",38,4,2,10,4000,3,0.12
"239",0.04,"W 26TH AVE","W","4  Minor Arterial",32,1,2,10,7100,3,0.65
"241",0.04,"TREMONT PL","NE","5  Major Collector",32,4,2,12,3700,3,0.43
"242",0.01,"N LINCOLN ST","N","3  Principal Arterial - Other",44,4,4,10,26000,1,0.41
"243",0.1,"S PLATTE RIVER DR","S","5  Major Collector",44,4,3,10,9400,3,0.43
"244",0.06,"E VIRGINIA AVE","E","5  Major Collector",32,4,2,10,4700,3,0.37
"245",0.06,"E ILIFF AVE","E","5  Major Collector",32,4,2,10,4100,3,0.91
"246",0.04,"N DOWNING ST","N","4  Minor Arterial",34,4,2,10,5100,3,0.27
"247",0.06,"E 13TH AVE","E","4  Minor Arterial",32,4,2,10,6900,3,3.44
"248",0.09,"W 3RD AVE","W","5  Major Collector",32,2.5,2,10,4800,3,0.18
"249",0.08,"S QUEBEC WAY","S","5  Major Collector",24,1,2,10,4700,3,0.445
"250",0.1,"GREEN VALLEY RANCH BLVD","E","4  Minor Arterial",24,2.5,2,12,11000,2,0.3
"252",0.06,"N ELIOT ST","N","5  Major Collector",36,4,2,10,4500,3,0.06
"253",0.07,"E 31ST AVE","E","4  Minor Arterial",44,2.5,2,12,6900,0,0.42
"254",0.01,"STOUT ST","NE","4  Minor Arterial",48,4,3,10,4600,0,1.14
"255",0.02,"N LOWELL BLVD","N","5  Major Collector",36,4,2,10,12000,3,2.515
"256",0.06,"E 14TH AVE","E","4  Minor Arterial",40,4,3,10,8700,1,0.41
"257",0.09,"E 17TH AVENUE PKWY","E","5  Major Collector",152,4,4,10,19000,3,0.47
"258",0.06,"WELTON ST","NE","5  Major Collector",48,4,2,11,5600,3,0.8
"259",0.06,"W 26TH AVE","W","4  Minor Arterial",36,4,2,10,7100,3,1.88
"260",0.06,"E 17TH AVE","E","4  Minor Arterial",26,4,2,10,8500,3,1
"261",0.1,"N CORONA ST","N","4  Minor Arterial",32,2.5,2,10,4300,3,1.175
"262",0.02,"W 48TH AVE","W","5  Major Collector",40,4,2,10,8900,2,0.97
"263",0.04,"STOUT ST","NE","4  Minor Arterial",48,4,2,12,5700,0,1.77
"264",0.12,"S IRVING ST","S","5  Major Collector",40,4,2,10,4100,3,2.32
"265",0.03,"N HOLLY ST","N","5  Major Collector",38,4,2,10,7100,3,3.12
"266",0.09,"WALNUT ST","NE","5  Major Collector",32,4,2,12,6400,3,0.72
"267",0.06,"W 44TH AVE","W","4  Minor Arterial",40,4,2,10,6900,3,0.79
"268",0.03,"E 47TH AVE","E","5  Major Collector",34,4,2,10,4400,3,0.25
"269",0.03,"W 52ND AVE","W","4  Minor Arterial",28,4,2,10,6000,3,0.45
"270",0.25,"S LOWELL BLVD","S","5  Major Collector",48,4,2,10,2800,3,1.16
"271",0.04,"E 8TH AVE","E","3  Principal Arterial - Other",36,4,3,10,18000,0,1.84
"272",0.02,"E SPEER BLVD","SE","3  Principal Arterial - Other",44,4,4,10,26000,2,0.9
"273",0.06,"S IRVING ST","S","5  Major Collector",40,4,2,10,4100,3,2.14
"274",0.01,"E ALAMEDA AVE","E","3  Principal Arterial - Other",30,4,2,10,33000,0,3.4
"275",0.14,"S ULSTER ST","S","4  Minor Arterial",100,4,4,11,11000,2,0.62
"276",0.09,"CHAMPA ST","NE","4  Minor Arterial",48,4,3,10,6100,3,1.71
"277",0.05,"E MARTIN LUTHER KING BLVD","E","4  Minor Arterial",68,2.5,6,12,22000,1,2.4
"278",0.06,"S HOLLY ST","S","4  Minor Arterial",52,2.5,2,10,17000,3,2.5
"279",0.02,"E ALAMEDA AVE","E","3  Principal Arterial - Other",44,4,4,10,27000,0,1.22
"280",0.09,"LAWRENCE ST","NE","4  Minor Arterial",40,4,3,13,5400,1,0.585
"281",0.07,"E 17TH AVE","E","5  Major Collector",54,4,3,10,16000,3,1.27
"282",0.02,"N BROADWAY","N","3  Principal Arterial - Other",72,4,5,10,28000,1,2.92
"283",0.05,"E ANDREWS DR","SE","5  Major Collector",44,4,2,10,4900,3,2
"284",0.06,"E 19TH AVE","E","5  Major Collector",48,4,3,10,4600,1,0.53
"285",0.04,"E MONTVIEW BLVD","E","4  Minor Arterial",44,4,3,10,7900,3,1.58
"286",0.06,"E 29TH AVE","E","5  Major Collector",40,4,2,11,3400,3,0.66
"287",0.04,"N BROADWAY","N","3  Principal Arterial - Other",72,4,5,10,28000,1,3.14
"288",0.06,"N LOWELL BLVD","N","5  Major Collector",36,4,2,12,2200,3,0.56
"289",0.02,"E 16TH AVE","E","5  Major Collector",36,4,2,12,3600,3,0.9
"290",0.09,"N JOSEPHINE ST","N","5  Major Collector",34,4,2,10,6700,3,0.33
"291",0.07,"E 24TH AVE","E","5  Major Collector",36,4,2,10,830,3,0.72
"292",0.03,"E MONTVIEW BLVD","E","5  Major Collector",44,4,2,10,7900,3,0.64
"293",0.07,"N JOSEPHINE ST","N","5  Major Collector",34,4,2,10,6700,3,0.49
"294",0.13,"S FRANKLIN ST","S","5  Major Collector",36,4,2,10,1900,3,0.61
"295",0.02,"E 14TH AVE","E","4  Minor Arterial",36,4,3,10,8400,1,4.01
"296",0.06,"W 50TH AVE","W","5  Major Collector",36,4,2,10,3700,3,0.59
"297",0.06,"E MONTVIEW BLVD","E","5  Major Collector",44,4,2,10,7900,3,1.4
"298",0.072,"N FRANKLIN ST","N","5  Major Collector",34,4,2,15,2600,3,0.812
"299",0.06,"E MISSISSIPPI AVE","E","5  Major Collector",32,4,2,12,1200,3,0.18
"300",0.01,"W EVANS AVE","W","3  Principal Arterial - Other",52,2.5,4,12,32000,1,0.29
"301",0.01,"LARIMER ST","NE","4  Minor Arterial",33,4,2,11,3000,0,0.43
